name,rest_wavelength,predicted_obs,fitted_center,fitted_center_err,amplitude,amplitude_err,fitted_sigma,fwhm_km_s,ridge_length,cwt_snr,status,feature_audit,feature_audit_flag
Lyα,1216.0,4766.4,4767.2,0.8,6.1,,12.74,1065.2,18,16.5,LIKELY,KEEP,
C IV,1549.0,6071.6,6072.8,0.8,2.0,,22.55,1011.7,12,24.5,LIKELY,KEEP,
He II,1640.4,6429.9,6479.9,11.4,0.16,0.03,109.09,11885,,,NOT_FOUND,,
C III],1909.0,7482.7,7480.0,0.8,0.4,,24.67,561.0956487415543,11,31.2,LIKELY,KEEP,
Mg II,2800.0,10975.2,,,,,,,,,NOT_FOUND,,
Mg II_abs,2800.0,10975.2,,,,,,,,,NOT_FOUND,,
[Ne V],3426.0,13429.0,,,,,,,,,NOT_FOUND,,
[O II],3727.0,14609.8,,,,,,,,,NOT_FOUND,,
Ca K_abs,3934.8,15423.6,,,,,,,,,NOT_FOUND,,
Ca H_abs,3969.6,15560.0,,,,,,,,,NOT_FOUND,,
Hε,3970.1,15562.0,,,,,,,,,NOT_FOUND,,
Hε_abs,3970.1,15562.0,,,,,,,,,NOT_FOUND,,
Hδ,4102.9,16082.6,,,,,,,,,NOT_FOUND,,
Hδ_abs,4102.9,16082.6,,,,,,,,,NOT_FOUND,,
G-band_abs,4305.6,16877.2,,,,,,,,,NOT_FOUND,,
Hγ,4341.7,17018.7,,,,,,,,,NOT_FOUND,,
Hγ_abs,4341.7,17018.7,,,,,,,,,NOT_FOUND,,
Hβ,4862.7,19060.7,,,,,,,,,NOT_FOUND,,
Hβ_abs,4862.7,19060.7,,,,,,,,,NOT_FOUND,,
[O III]a,4960.3,19443.3,,,,,,,,,NOT_FOUND,,
[O III]b,5008.2,19631.1,,,,,,,,,NOT_FOUND,,
Mg I_abs,5176.7,20291.6,,,,,,,,,NOT_FOUND,,
Na D_abs,5895.6,23109.8,,,,,,,,,NOT_FOUND,,
[N II]a,6549.8,25674.2,,,,,,,,,NOT_FOUND,,
Hα,6564.6,25732.2,,,,,,,,,NOT_FOUND,,
Hα_abs,6564.6,25732.2,,,,,,,,,NOT_FOUND,,
[N II]b,6585.3,25813.3,,,,,,,,,NOT_FOUND,,
[S II]a,6718.3,26334.7,,,,,,,,,NOT_FOUND,,
[S II]b,6732.7,26391.1,,,,,,,,,NOT_FOUND,,
CaT1_abs,8498.0,33310.7,,,,,,,,,NOT_FOUND,,
CaT2_abs,8542.0,33483.2,,,,,,,,,NOT_FOUND,,
CaT3_abs,8662.0,33953.6,,,,,,,,,NOT_FOUND,,
